order,SpecimenID,Image.J.ID,Site,X,Y,Spit,Raw.material,Key,activity_area
1,1011,,BCJ area G,15.04,18.01,4,silcrete,Flake local G4,Area 1
1,1012,,BCJ area G,15.29,18.25,4,silcrete,Flake local G4,Area 1
1,1021,,BCJ area G,15.22,18.1,6,silcrete,Flake local G4,Area 1
1,1022,,BCJ area G,15.46,18.21,6,silcrete,Flake local G4,Area 1
1,1023,,BCJ area G,15.64,18.47,6,silcrete,Flake local G4,Area 1
1,1024,,BCJ area G,15.89,18.72,6,silcrete,Backed artefact local G4,Area 1
1,1025,,BCJ area G,15.23,18.47,6,silcrete,Flake local G4,Area 1
1,1026,,BCJ area G,15.96,18.12,6,silcrete,Flake local G4,Area 1
1,1027,,BCJ area G,15.36,18.57,6,silcrete,Flake local G4,Area 1
1,1028,,BCJ area G,15.26,18.12,6,silcrete,Flake local G4,Area 1
1,1029,,BCJ area G,15.51,18.35,6,silcrete,Backed artefact local G4,Area 1
1,1030,,BCJ area G,15.69,18.51,6,silcrete,Flake local G4,Area 1
1,1031,,BCJ area G,15.94,18.86,6,silcrete,Flake local G4,Area 1
1,1032,,BCJ area G,15.27,18.61,6,silcrete,Flake local G4,Area 1
1,1033,,BCJ area G,15.27,18.23,6,silcrete,Flake local G4,Area 1
1,1034,,BCJ area G,15.51,18.51,6,silcrete,Flake local G4,Area 1
1,1035,,BCJ area G,15.69,18.77,6,silcrete,Flake local G4,Area 1
1,1036,,BCJ area G,15.94,18.92,6,silcrete,Flake local G4,Area 1
1,1037,,BCJ area G,15.28,18.77,6,silcrete,Flake local G4,Area 1
1,1038,,BCJ area G,15.61,18.34,6,silcrete,Flake local G4,Area 1
1,1039,,BCJ area G,15.01,18.87,6,silcrete,Flake local G4,Area 1
1,1040,,BCJ area G,15.01,18.94,6,silcrete,Flake local G4,Area 1
1,1041,,BCJ area G,15.26,18.65,6,silcrete,Flake local G4,Area 1
1,1057,,BCJ area G,15.04,18.87,8,silcrete,Core local G4,Area 1
1,1058,,BCJ area G,15.04,18.5,8,silcrete,Flake local G4,Area 1
1,1059,,BCJ area G,15.29,18.85,8,silcrete,Flake local G4,Area 1
1,1060,,BCJ area G,15.47,18.91,8,silcrete,Flake local G4,Area 1
1,1061,,BCJ area G,15.22,18.66,8,silcrete,Flake local G4,Area 1
