order,Image.J.ID,SpecimenID,Site,notX,notY,X,Y,Spit,Raw.material,Key
4311,5,18132,BCJ area F7,NA,NA,17.9,12.35,4,silcrete,NA
4312,6,18133,BCJ area F7,NA,NA,17.35,12.2,4,silcrete,NA
4313,7,18134,BCJ area F7,NA,NA,17.95,12.095,4,silcrete,NA
4314,8,18135,BCJ area F7,NA,NA,17.1,12.85,4,silcrete,NA
4315,9,18136,BCJ area F7,NA,NA,17.7,12.05,4,silcrete,NA
4316,10,18137,BCJ area F7,NA,NA,17.05,12.4,4,silcrete,NA
4317,11,18138,BCJ area F7,NA,NA,17.6,12.8,4,silcrete,NA
4318,12,18139,BCJ area F7,NA,NA,18,12.15,4,silcrete,NA
4319,13,18140,BCJ area F7,NA,NA,17.6,12.35,4,silcrete,NA
4320,14,18141,BCJ area F7,NA,NA,17.25,12.05,4,silcrete,NA
4321,15,18142,BCJ area F7,NA,NA,17.25,13,4,quartz,NA
4322,16,18143,BCJ area F7,NA,NA,17.85,12.55,4,quartz,NA
4323,17,18144,BCJ area F7,NA,NA,17.7,12.2,4,quartz,Core local quartz
4324,18,18145,BCJ area F7,NA,NA,18,12.45,4,quartz,NA
4325,19,18146,BCJ area F7,NA,NA,17.45,12.95,4,quartz,Flake local quartz
4326,20,18147,BCJ area F7,NA,NA,17.25,12.8,4,quartz,Flake local quartz
4327,21,18148,BCJ area F7,NA,NA,17.5,12.6,4,quartz,NA
4328,22,18149,BCJ area F7,NA,NA,17.85,12.95,4,quartz,Flake local quartz
4329,23,18150,BCJ area F7,NA,NA,18,12.8,4,quartz,NA
4330,24,18151,BCJ area F7,NA,NA,17,12.75,4,quartz,Flake local quartz
4331,25,18152,BCJ area F7,NA,NA,17.65,12.6,4,quartz,NA
4332,26,18153,BCJ area F7,NA,NA,17.55,12.1,4,quartz,NA
4333,27,18154,BCJ area F7,NA,NA,17.3,12.3,4,quartz,Flake local quartz
4334,28,18155,BCJ area F7,NA,NA,17.45,12.75,4,quartz,NA
4335,29,18156,BCJ area F7,NA,NA,17.1,12.05,4,quartz,Flake local quartz
4336,30,18157,BCJ area F7,NA,NA,17.95,12.05,4,quartz,NA
4337,31,18158,BCJ area F7,NA,NA,17.8,12.45,4,quartz,NA
4338,32,18159,BCJ area F7,NA,NA,17.1,12.1,4,quartz,NA
4339,33,18160,BCJ area F7,NA,NA,17.6,12.6,4,quartz,NA
4340,34,18161,BCJ area F7,NA,NA,17.9,12.8,4,quartz,NA
4341,35,18162,BCJ area F7,NA,NA,17.4,12.75,6,silcrete,NA
4342,36,18163,BCJ area F7,NA,NA,18,12.45,6,silcrete,NA
4343,37,18164,BCJ area F7,NA,NA,17.45,12.3,6,silcrete,NA
4344,38,18165,BCJ area F7,NA,NA,18,12.195,6,quartz,NA
4345,39,18166,BCJ area F7,NA,NA,17.2,12.95,6,quartz,NA
4346,40,18167,BCJ area F7,NA,NA,17.8,12.15,6,quartz,NA
4347,41,18168,BCJ area F7,NA,NA,17.15,12.5,6,quartz,NA
